age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
22,services,married,basic.9y,unknown,no,no,telephone,jul,wed,42,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
56,blue-collar,married,basic.9y,no,unknown,unknown,cellular,aug,mon,68,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
45,admin.,married,high.school,unknown,yes,no,cellular,jul,mon,386,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
56,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,81,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
52,admin.,married,basic.9y,no,no,no,cellular,jul,wed,1171,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
34,blue-collar,married,basic.9y,no,yes,yes,cellular,jul,mon,465,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
34,technician,single,university.degree,no,yes,no,cellular,aug,thu,90,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
27,admin.,single,high.school,no,yes,no,cellular,jul,thu,130,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
50,admin.,married,professional.course,no,no,no,cellular,jul,tue,306,14,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
47,technician,divorced,high.school,no,yes,no,cellular,jul,thu,335,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
44,management,single,high.school,no,no,no,cellular,jul,mon,312,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
24,blue-collar,married,professional.course,no,no,no,cellular,jul,tue,273,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
40,entrepreneur,married,university.degree,no,yes,no,cellular,aug,mon,145,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
31,services,divorced,high.school,no,yes,no,cellular,jul,mon,172,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
36,blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,thu,264,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
45,admin.,married,high.school,unknown,yes,no,cellular,jul,mon,201,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
50,management,divorced,university.degree,no,no,no,cellular,jul,mon,60,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
44,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,304,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
60,retired,married,basic.6y,unknown,no,no,cellular,jul,fri,135,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
46,admin.,divorced,university.degree,unknown,yes,no,cellular,jul,thu,89,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
53,blue-collar,married,unknown,unknown,yes,no,cellular,jul,fri,386,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
23,technician,single,university.degree,no,yes,yes,cellular,jul,tue,603,11,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
